           1   203.987438338737     
           2   243.392365841659     
           3   269.700151788982     
           4   289.830580900291     
           6   320.431496189123     
           8   343.698177911958     
          11   371.269991044253     
          15   399.556863913010     
          20   427.775459499490     
          26   454.157496084783     
          34   482.700654520998     
          45   513.819961781362     
          59   545.236173025048     
          77   576.324480002368     
         101   608.881620781084     
         132   641.541673432054     
         172   674.077251229412     
         224   705.019979770077     
         292   735.156594712990     
         380   762.169918308903     
         494   784.404202643637     
         643   801.133181811863     
         836   813.125643735333     
        1087   819.682989408100     
        1414   822.534706714556     
        1839   823.054771111862     
        2391   824.337233782388     
        3109   823.262725759523     
        4042   823.665103743627     
        5255   823.713959757876     
        6832   823.982108801520     
        8882   824.156481652605     
       11547   823.399517624950     
       15012   824.349952235093     
       19516   823.388758045068     
       25371   823.208642295500     
       32983   824.981855861085     
       42878   823.223931032742     
       55742   823.557014571547     
       72465   824.127768082717     
       94205   823.368339125935     
