           1   206.697448888567     
           2   246.813031024003     
           3   273.675872591426     
           4   294.442898915366     
           6   326.211277046118     
           8   350.599532319527     
          11   379.731370846234     
          15   410.290707087650     
          20   440.454658730780     
          26   470.003027548266     
          34   501.952242228607     
          45   537.227962255084     
          59   573.526227543531     
          77   611.246137476370     
         101   651.784542050148     
         132   694.114060845608     
         172   738.010896142058     
         224   784.182400150553     
         292   831.654102620507     
         380   881.364391310848     
         494   932.855944532922     
         643   985.988882873109     
         836   1039.32277862552     
        1087   1093.70889281986     
        1414   1148.39857267494     
        1839   1204.48060501778     
        2391   1257.40964097458     
        3109   1304.81875180947     
        4042   1346.75397949394     
        5255   1381.56847234517     
        6832   1408.70284548793     
        8882   1424.07935879832     
       11547   1429.60730916063     
       15012   1430.60014591346     
       19516   1428.84788863565     
       25371   1429.76176631148     
       32983   1430.52557075493     
       42878   1428.63129036364     
       55742   1431.02024249809     
       72465   1433.48998713253     
       94205   1428.76133991221     
